epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,average_normalizd_return,train_time,eval_time,epoch_time
13,3.0249576568603516,-156.4272003173828,3.431438446044922,3.681804895401001,0.036726150661706924,0.22957172989845276,156.9788818359375,156.86903381347656,155.04315185546875,14000,4.957635879516602,4.934718132019043,148.2180938720703,148.15003967285156,9.737039566040039,9.762778282165527,1.9474079608917236,1.9525556564331055,157.56382751464844,157.449951171875,156.53038024902344,156.3162384033203,0.0,0.0,24.024403,23.6,0.013610607225267912,20.42556881904602,6.198883056640625e-06,20.425575017929077
14,3.2158942222595215,-163.86285400390625,4.129735946655273,3.6189992427825928,0.3127847909927368,0.23485472798347473,164.2939453125,164.41827392578125,162.7273712158203,15000,5.449265480041504,5.286369800567627,154.66416931152344,155.02725219726562,9.554344177246094,9.186583518981934,1.9108688831329346,1.8373167514801025,164.9434356689453,165.0264129638672,163.70713806152344,163.7327117919922,0.0,0.0,24.024403,23.6,0.013610607225267912,19.67950415611267,6.198883056640625e-06,19.679510354995728
15,3.3629560470581055,-165.67416381835938,4.666318893432617,3.520993709564209,0.5233996510505676,0.23644332587718964,166.1973114013672,166.17149353027344,165.0369873046875,16000,5.374964237213135,5.354154586791992,156.7769775390625,156.7828826904297,9.724872589111328,9.960783004760742,1.9449745416641235,1.9921565055847168,166.8883514404297,166.87489318847656,165.69924926757812,165.7098388671875,0.0,0.0,24.024403,23.6,0.013610607225267912,20.09097170829773,5.7220458984375e-06,20.090977430343628
16,3.125154495239258,-179.36776733398438,4.37322998046875,3.432368516921997,0.1777057945728302,0.24173976480960846,180.14208984375,179.75613403320312,178.34628295898438,17000,5.722250938415527,5.625402450561523,170.006591796875,169.7769012451172,9.005585670471191,9.23892593383789,1.8011170625686646,1.847785234451294,180.78846740722656,180.3936309814453,179.6676788330078,179.2882080078125,0.0,0.0,24.024403,23.6,0.013610607225267912,19.981131553649902,6.198883056640625e-06,19.98113775253296
17,3.052590847015381,-185.65731811523438,120.82157897949219,120.37104034423828,0.0740758404135704,0.24450109899044037,186.10728454589844,186.01495361328125,185.032958984375,18000,5.709229946136475,5.578993797302246,176.1601104736328,176.3531951904297,10.192176818847656,10.337484359741211,2.038435459136963,2.0674967765808105,186.8790283203125,186.79629516601562,185.5929412841797,185.46400451660156,0.0,0.0,24.024403,23.6,0.013610607225267912,20.63270354270935,5.7220458984375e-06,20.63270926475525
18,2.998076915740967,-190.7222900390625,4.197627067565918,5.22536039352417,-0.0026855766773223877,0.24743063747882843,190.85633850097656,191.45957946777344,190.23153686523438,19000,5.618818283081055,5.64592981338501,181.24057006835938,181.73338317871094,10.877691268920898,10.812761306762695,2.1755383014678955,2.1625523567199707,191.69773864746094,192.21630859375,190.6602783203125,191.078369140625,0.0,0.0,24.024403,23.6,0.013610607225267912,20.042506217956543,5.7220458984375e-06,20.04251194000244
19,2.793492078781128,-194.334716796875,5.172850608825684,5.176612854003906,-0.2865241467952728,0.24970552325248718,194.6336669921875,195.04910278320312,194.8253631591797,20000,5.273775100708008,5.2176008224487305,185.61961364746094,186.05682373046875,11.381145477294922,11.415238380432129,2.2762291431427,2.283047676086426,195.39610290527344,195.69627380371094,194.17303466796875,194.4847412109375,0.0,0.0,904.40155,320.2,0.28411533229527136,21.45400357246399,2.559769868850708,24.013773441314697
20,3.0560965538024902,-204.33236694335938,5.4858527183532715,5.645803451538086,0.07745476067066193,0.25139355659484863,204.68893432617188,204.85513305664062,203.7256317138672,21000,5.4683074951171875,5.567742347717285,195.28302001953125,195.2281036376953,10.65035629272461,10.733777046203613,2.1300711631774902,2.1467554569244385,205.408935546875,205.5690155029297,204.1941375732422,204.3148651123047,0.0,0.0,904.40155,320.2,0.28411533229527136,19.76191759109497,5.9604644775390625e-06,19.76192355155945
21,3.0627782344818115,-197.1998748779297,4.652990341186523,3.891409397125244,0.08593171834945679,0.2544076442718506,197.82028198242188,197.67343139648438,196.40277099609375,22000,5.514017105102539,5.5744171142578125,188.2728271484375,187.9781036376953,11.091154098510742,11.221529006958008,2.218230724334717,2.2443058490753174,198.48263549804688,198.29376220703125,197.32196044921875,197.3038787841797,0.0,0.0,904.40155,320.2,0.28411533229527136,21.267269134521484,6.198883056640625e-06,21.26727533340454
22,3.111912727355957,-207.69158935546875,4.418508052825928,4.005154609680176,0.15343642234802246,0.2538442015647888,208.32786560058594,208.03489685058594,208.83990478515625,23000,5.791046142578125,5.861941814422607,198.38565063476562,197.98182678222656,10.328178405761719,10.67543888092041,2.0656356811523438,2.135087728500366,209.1361846923828,208.88121032714844,207.7018585205078,207.5276336669922,0.0,0.0,904.40155,320.2,0.28411533229527136,20.135940074920654,5.7220458984375e-06,20.135945796966553
23,2.9277474880218506,-209.78573608398438,8.672619819641113,7.875650405883789,-0.09863709658384323,0.2553364038467407,210.41796875,210.19581604003906,211.0076904296875,24000,5.985472679138184,5.796282768249512,200.0078887939453,200.17068481445312,10.270366668701172,10.975502014160156,2.0540733337402344,2.1951003074645996,211.1021728515625,210.9209442138672,209.74790954589844,209.5625,0.0,0.0,904.40155,320.2,0.28411533229527136,19.899651288986206,5.7220458984375e-06,19.899657011032104
24,3.018282651901245,-214.46942138671875,4.694846153259277,5.162014961242676,0.024696074426174164,0.25903454422950745,215.01971435546875,215.088623046875,213.80780029296875,25000,5.890859603881836,5.941035270690918,204.8088836669922,204.6986083984375,10.43699836730957,10.783357620239258,2.08739972114563,2.1566715240478516,215.7089080810547,215.86123657226562,214.57632446289062,214.5686492919922,0.0,0.0,904.40155,320.2,0.28411533229527136,19.45792531967163,6.198883056640625e-06,19.457931518554688
